"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"119927016408612864","119925172550635520","11990462","","","2011-10-01 00:10:03 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@tbeckett +1"
"119926960553070593","119925445578850304","139846457","","","2011-10-01 00:09:50 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@SportsStarClark any Shelby update?"
"119900530045763584","","","119885163181256705","38385999","2011-09-30 22:24:48 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @interfluidity: Understanding the Theory Behind #OccupyWallStreet, excellent explainer by @rortybomb w/eloquent cameos by @davidgraeb ..."
"119883496037687297","119879498450739200","47262697","","","2011-09-30 21:17:07 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@MaryCaitlinByrd well said"
"119879241390235648","119872409380720640","47262697","","","2011-09-30 21:00:13 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@MaryCaitlinByrd you're alright!"
"119879047265263617","","","119873869321474048","47262697","2011-09-30 20:59:26 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @MaryCaitlinByrd: UNCA to host high school media workshop in October http://t.co/Z0C7ETSZ  #avlnews #avlmedia","http://bit.ly/r29DtT"
"119878914674929664","","","119875327844548609","739293","2011-09-30 20:58:55 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @courosa: ""Teachers Teaching Teachers, on Twitter: Q. and A. on ?Edchats?"" http://t.co/WUa1nVxS #eci831 #ccsd2011 #ecmp355","http://nyti.ms/q7YH5a"
"119871005966602241","","","","","2011-09-30 20:27:29 +0000","<a href=""http://runkeeper.com"" rel=""nofollow"">RunKeeper</a>","Just completed a 6.44 mi bike ride with @runkeeper. Check it out! http://t.co/27hS8bWW #RunKeeper","http://rnkpr.com/awe0yw"
"119841723856846848","","","119840171989549056","20264785","2011-09-30 18:31:08 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @justkika: @jrosenberg6432 This site is awesome! Thanks for sending it my way. Looking forward to skyping with your students! cc @sho ..."
"119841699664117760","119840171989549056","20264785","","","2011-09-30 18:31:02 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@justkika isn't it? Working on a post about it now. Ty again for talking."
"119834219869503488","","","","","2011-09-30 18:01:19 +0000","<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","#geektalk Episode 2: I Don?t Trust Google http://t.co/NJ4Koghj","http://dlvr.it/nmNQk"
"119832781873356801","","","","","2011-09-30 17:55:36 +0000","web","Great conversation with @justkika & @showmeapp about using Show Me http://t.co/ssyAkoAu","http://studydesigned.com/2011/09/22/sd-in-an-hour-show-me-for-kahn-academy-like-descriptions-of-topics/"
"119832268490543104","","201303032","","","2011-09-30 17:53:33 +0000","web","@showmeapp Here's that amazing educational technology resource we talked about, @justkika: http://t.co/Yc5wWSKg","http://c4lpt.co.uk/directory-of-learning-performance-tools"
"119603516011589632","","","119601363108892672","14147479","2011-09-30 02:44:35 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @21stprincipal: Football Game in SC Postponed due to Fire Ants  http://t.co/SmBK8GMo","http://tinyurl.com/67xqxn9"
"119597253764714497","","","119588391376519168","260543058","2011-09-30 02:19:41 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @MathEvolve: The 30 Best Educational Apps for iPad: Top Apps for the Classroom - http://t.co/nZfRmO16 #elearning #mlearning #iPad #ed ...","http://interactioneducation.com/"
"119527007628427264","","","","","2011-09-29 21:40:33 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","I just connected my @klout account with Google+. Be one of the first to have Google+ added to your @klout! http://t.co/dhYPIsAM","http://klout.com/user/jrosenberg6432?n=tw&v=connect_gplus"
"119518325742112769","","","","","2011-09-29 21:06:04 +0000","<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","ALL JV PARENTS: Quick Request http://t.co/HhoNawMh","http://dlvr.it/ndGRh"
"119377471824084994","","","","","2011-09-29 11:46:21 +0000","<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","PERSONAL: The Meaning Behind my Billboard Photos http://t.co/fZjqXkRf","http://dlvr.it/nYljV"
"119364797664997376","","","","","2011-09-29 10:56:00 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@devintonhaeuser will this wknd"
"119364736377823232","","","","","2011-09-29 10:55:45 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@devintonhaeuser you rock Devin"
"119364610380926976","","","119245166673526784","74017577","2011-09-29 10:55:15 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @TeachOnTheEdge: @jrosenberg6432 Interesting that tech not intended for learning is often more effective than that which is created f ..."
"119239565612564480","119233161518526465","39003487","","","2011-09-29 02:38:22 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@AdamMyerson congrats"
"119222950816792578","","","","","2011-09-29 01:32:21 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@devintonhaeuser @samharrelson I'm not worthy! But, cool."
"119220207117021184","118845421610217472","74017577","","","2011-09-29 01:21:27 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@TeachOnTheEdge have you heard of a model of instruction called TPACK? www.tpck.com"
"119219949448331264","118845421610217472","74017577","","","2011-09-29 01:20:25 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@TeachOnTheEdge IMHO, an important one, but still a tool"
"119219856481583104","118845421610217472","74017577","","","2011-09-29 01:20:03 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@TeachOnTheEdge I agree, the key is something else. It's a tool - that's all."
"119219562397970432","","","118845421610217472","74017577","2011-09-29 01:18:53 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @TeachOnTheEdge: @jrosenberg6432 have been following the subsequent posts; torn personally. Tech isn't the key ingredient but helps i ..."
"119019410232057856","","","","","2011-09-28 12:03:33 +0000","<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","NEWS: Reduced-Price Internet Service from ?Internet Essentials? http://t.co/d9vDgNV3","http://dlvr.it/nPhQn"
