"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"109102251062198272","","","","","2011-09-01 03:16:18 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Although my air conditioning stopped working today, the cool evening breeze from opened windows feels great!"
"108849683295776769","","","","","2011-08-31 10:32:41 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Fun ?@nytimes: On Twitter, Poking Fun at Bloomberg?s Spanish http://t.co/bWymvDu?","http://nyti.ms/o7rU5F"
"108495614769246208","","","108483046164021248","14761795","2011-08-30 11:05:44 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @TEDchris: AI vs. AI. Two chatbots in conversation with each other hilariously fail the Turing test. http://t.co/irQJcPM","http://bit.ly/qfC94n"
"108495205061238784","","","108494459192348673","16193528","2011-08-30 11:04:07 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @consumerreports: Consumer Reports? tests shed light on CFLs and LEDs http://t.co/KHfSNdU","http://bit.ly/omDxjX"
"108378129936031744","","","108378089305812992","317344340","2011-08-30 03:18:54 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @StudyDesigned: I believe Dropbox demonstrates what is possible with iCloud and what could have been possible with iDisk & Mobile Me  ..."
"108373135518203904","","","","","2011-08-30 02:59:03 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I'm preparing for my classes first day of the year in computer lab tomorrow. Checkout my sites www.studyrosey.com and www.studybio.com"
"108370555614396416","","","","","2011-08-30 02:48:48 +0000","<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","Let's Get Started Check-in http://t.co/W70jtzq","http://tumblr.com/xla4eb6md1"
"108269041663217665","","","108268860674813952","317344340","2011-08-29 20:05:25 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @StudyDesigned: I've been working with www.studyrosey.com in my classroom - check us out"
"108025968505008128","","","107997054290247681","31155288","2011-08-29 03:59:32 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @JustinConley: Production on these VMA's suck.... #VMA's"
"107815635467239424","","","","","2011-08-28 14:03:45 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","Breakfast in Asheville with Katie, Mom, and Dad. (@ Early Girl Eatery) http://t.co/VT2OniZ","http://4sq.com/orKsyf"
